number,value,datetime_start,datetime_complete,duration,params_A,params_C,params_f,params_lr,params_min_gradient_magnitude,params_optimal_weight,params_phase_shift_loss_weight,params_phi,params_shift_boundary,params_threshold,params_transition_slope,state
19,1.0120469523025744,2023-08-31 11:58:35.324139,2023-08-31 12:06:29.663885,0 days 00:07:54.339746,0.30107964377540825,1.2890767521208852,0.8132629509589874,0.009037232790424291,0.19470386605562887,0.8393095580228543,0.44494445792765486,1.581287172491488,0.27986871179616235,0.12000000000000001,0.11148605161202278,PRUNED
20,1.0422792810920283,2023-08-31 12:06:29.677396,2023-08-31 12:12:07.774381,0 days 00:05:38.096985,0.19954983137527776,1.0213470534094902,0.7764922612565324,0.009217238317838822,0.19995981121128067,0.8349711894559054,0.3377645102937984,2.7551268764151775,0.2498696637431419,0.11,0.1259032531779697,PRUNED
21,0.478412875210977,2023-08-31 12:12:07.792636,2023-08-31 12:20:22.861060,0 days 00:08:15.068424,0.1675505680677078,1.1138656676555176,0.7520340928716792,0.009964455856728442,0.18190753730987516,0.8486412711973438,0.47977332829072805,2.8458353558612624,0.2956170357094116,0.1,0.1000672846545854,COMPLETE
22,1.3378534682676302,2023-08-31 12:20:22.883933,2023-08-31 12:22:02.357865,0 days 00:01:39.473932,0.17281920655641048,1.036019600400022,0.7707664842277686,0.009040712443218538,0.18252908483044292,0.8492476207039413,0.4586090671166694,2.837255261654849,0.283227236108882,0.1,0.10946153162599914,PRUNED
23,1.0893847591488073,2023-08-31 12:22:02.373918,2023-08-31 12:26:59.022111,0 days 00:04:56.648193,0.27130680418436776,0.8101234090430189,0.7639263317180095,0.009945154539018852,0.16828600008078998,0.8131843312035514,0.4293955209731205,2.7858199086113027,0.2809086097037458,0.11,0.10068606165242408,PRUNED
24,0.5053613222524369,2023-08-31 12:26:59.034648,2023-08-31 12:34:43.489713,0 days 00:07:44.455065,0.3626897127672695,1.1848680237947868,0.7518211119235044,0.008020381984273055,0.18142754805472264,0.828048311517223,0.39980397269059986,3.1375323114994824,0.2615638067859888,0.13,0.11361384494507225,COMPLETE
25,1.1069220382693812,2023-08-31 12:34:43.505220,2023-08-31 12:39:00.754520,0 days 00:04:17.249300,0.23967723365994092,1.00198887443564,0.8028388928157844,0.00904085890627738,0.1611553022871356,0.834661736532404,0.4647622774657806,2.602057403080247,0.29035869962473515,0.1,0.10723185428290481,PRUNED
26,1.346401405672655,2023-08-31 12:39:00.771344,2023-08-31 12:40:40.254698,0 days 00:01:39.483354,0.14454402488853552,1.341845260110858,0.7850636437703156,0.00809843312558839,0.1785797496397662,0.8107053258721997,0.46487189607650004,2.1639013339886777,0.2825675897358659,0.12000000000000001,0.1216632705445266,PRUNED
27,1.3357984681501456,2023-08-31 12:40:40.266470,2023-08-31 12:42:19.875152,0 days 00:01:39.608682,0.382242815739241,1.1347005574364337,0.7709297393490009,0.006880234111108269,0.1870731565746406,0.8356223414721167,0.4016589824124916,2.644257483233178,0.255966755356292,0.14,0.1147223901981729,PRUNED
28,1.0803408083763528,2023-08-31 12:42:19.894544,2023-08-31 12:46:47.863108,0 days 00:04:27.968564,0.257347841523869,0.9039006649540098,0.8110923914950885,0.009243324061330646,0.17358681707061924,0.826472638215803,0.36029623521426146,2.899015363345858,0.2713785358473769,0.11,0.10506517258497125,PRUNED
